storeid,year,month,week,day,sales
125604,2016,3,10,20160403,31311.22
125604,2016,3,10,20160404,16485.98
125604,2016,3,10,20160405,12445.88
125604,2016,3,10,20160406,19358.59
125604,2016,3,10,20160407,19222.18
125604,2016,3,10,20160408,25425.15
125604,2016,3,10,20160409,43026.79
125604,2016,3,11,20160410,36827.85
125604,2016,3,11,20160411,15937.97
125604,2016,3,11,20160412,15065.54
125604,2016,3,11,20160413,18493.06
125604,2016,3,11,20160414,20132.83
125604,2016,3,11,20160415,29796.22
125604,2016,3,11,20160416,40006.73
125604,2016,3,12,20160417,26731.08
125604,2016,3,12,20160418,16276.23
125604,2016,3,12,20160419,14067.36
125604,2016,3,12,20160420,15133.17
125604,2016,3,12,20160421,18289.77
125604,2016,3,12,20160422,30275.74
125604,2016,3,12,20160423,44877.25
125604,2016,3,13,20160424,35994.85
125604,2016,3,13,20160425,18933.96
125604,2016,3,13,20160426,14313.73
125604,2016,3,13,20160427,18823.22
125604,2016,3,13,20160428,16980.27
125604,2016,3,13,20160429,32300.51
125604,2016,3,13,20160430,49499.35
125604,2016,4,14,20160501,31213.22
125604,2016,4,14,20160502,17530.25
125604,2016,4,14,20160503,15117.67
125604,2016,4,14,20160504,17592.85
125604,2016,4,14,20160505,15406.13
125604,2016,4,14,20160506,19885.35
125604,2016,4,14,20160507,40214.39
125604,2016,4,15,20160508,23090.05
125604,2016,4,15,20160509,16341.35
125604,2016,4,15,20160510,16293.83
125604,2016,4,15,20160511,19778.38
125604,2016,4,15,20160512,24535.27
125604,2016,4,15,20160513,27148.49
125604,2016,4,15,20160514,41106.97
125604,2016,4,16,20160515,33181.95
125604,2016,4,16,20160516,18627.78
125604,2016,4,16,20160517,17167.52
125604,2016,4,16,20160518,18661.97
125604,2016,4,16,20160519,22186.9
125604,2016,4,16,20160520,28380.79
125604,2016,4,16,20160521,42326.61
125604,2016,4,17,20160522,33327.73
125604,2016,4,17,20160523,16756.42
125604,2016,4,17,20160524,17892.08
125604,2016,4,17,20160525,21801.72
125604,2016,4,17,20160526,27297.23
125604,2016,4,17,20160527,31986.99
125604,2016,4,17,20160528,47076.07
125604,2016,5,18,20160529,27096.21
125604,2016,5,18,20160530,27077.02
125604,2016,5,18,20160531,16319.12
125604,2016,5,18,20160601,19997.25
125604,2016,5,18,20160602,24925.66
125604,2016,5,18,20160603,28292.8
125604,2016,5,18,20160604,43173.15
125604,2016,5,19,20160605,31143.35
125604,2016,5,19,20160606,21959.45
125604,2016,5,19,20160607,18009.18
125604,2016,5,19,20160608,18438.72
125604,2016,5,19,20160609,23967.37
125604,2016,5,19,20160610,33985.5
125604,2016,5,19,20160611,42350.2
125604,2016,5,20,20160612,30243.95
125604,2016,5,20,20160613,19660.46
125604,2016,5,20,20160614,19414.37
125604,2016,5,20,20160615,19855.44
125604,2016,5,20,20160616,23404.45
125604,2016,5,20,20160617,30209.3
125604,2016,5,20,20160618,40139.57
125604,2016,5,21,20160619,21950.1
125604,2016,5,21,20160620,18156.27
