storeid,year,month,week,day,sales
5805,2016,11,44,20161127,25037.35
5805,2016,11,44,20161128,22005.5
5805,2016,11,44,20161129,25271.47
5805,2016,11,44,20161130,27940.92
5805,2016,11,44,20161201,39064.61
5805,2016,11,44,20161202,65594.28
5805,2016,11,44,20161203,91520.42
5805,2016,11,45,20161204,60646.77
5805,2016,11,45,20161205,47957.05
5805,2016,11,45,20161206,51567.99
5805,2016,11,45,20161207,45997.97
5805,2016,11,45,20161208,47182.19
5805,2016,11,45,20161209,93951.89
5805,2016,11,45,20161210,142313.4
5805,2016,11,46,20161211,95719.56
5805,2016,11,46,20161212,70646.27
5805,2016,11,46,20161213,69567.15
5805,2016,11,46,20161214,77217.28
5805,2016,11,46,20161215,77689.49
5805,2016,11,46,20161216,121496.08
5805,2016,11,46,20161217,198415.65
5805,2016,11,47,20161218,160654.09
5805,2016,11,47,20161219,110013.58
5805,2016,11,47,20161220,115955.1
5805,2016,11,47,20161221,132179.05
5805,2016,11,47,20161222,162348.27
5805,2016,11,47,20161223,203036.45
5805,2016,11,47,20161224,117558.35
5805,2016,12,48,20161225,0.01
5805,2016,12,48,20161226,37108.14
5805,2016,12,48,20161227,22325.47
5805,2016,12,48,20161228,16759.98
5805,2016,12,48,20161229,18324.54
5805,2016,12,48,20161230,25594.16
5805,2016,12,48,20161231,25434.38
5805,2016,12,49,20170101,15157.13
5805,2016,12,49,20170102,15893.43
5805,2016,12,49,20170103,9861.97
5805,2016,12,49,20170104,8357.71
5805,2016,12,49,20170105,5214.45
5805,2016,12,49,20170106,11923.72
5805,2016,12,49,20170107,16675.1
5805,2016,12,50,20170108,9761.02
5805,2016,12,50,20170109,9835.56
5805,2016,12,50,20170110,5058.35
5805,2016,12,50,20170111,5658.01
5805,2016,12,50,20170112,4253.88
5805,2016,12,50,20170113,12524.56
5805,2016,12,50,20170114,23750.79
5805,2016,12,51,20170115,16735.98
5805,2016,12,51,20170116,13912.78
5805,2016,12,51,20170117,7138.95
5805,2016,12,51,20170118,8268.41
5805,2016,12,51,20170119,6596.57
5805,2016,12,51,20170120,10545.61
5805,2016,12,51,20170121,22333.4
5805,2016,12,52,20170122,7937.79
5805,2016,12,52,20170123,6166.7
5805,2016,12,52,20170124,6172.33
5805,2016,12,52,20170125,7103.48
5805,2016,12,52,20170126,10685.05
5805,2016,12,52,20170127,14794.36
5805,2016,12,52,20170128,27785
5805,2017,1,1,20170129,14902.1
5805,2017,1,1,20170130,5382.98
5805,2017,1,1,20170131,5996
